Data Status,Update Date,Customer Name,Status,City ,Purchase Amount,Automotive Product Type,PIC,Phone No,Wechat / Line,Email ,Address ,Remarks
Complete,5/4/2026,PT. TECHNO INOVASI MANDIRI,Aktif,BATAM,> 10Juta,BODYPART,TONI,08117021363,N/A,N/A,"Komplek Bintang Industrial Park I, Jalan Yos Sudarso",BODY REPAIR
Complete,5/4/2026,CAHAYA ABADI MOTORINDO (CAM),Aktif,BATAM,> 10Juta,BODYPART,EDI,08136882828,N/A,N/A,Komp. Pergudangan Vila Mas Blok A13 No 1,BODY REPAIR
Complete,5/4/2026,AMEZING MULTI GLOBALINDO,Aktif,BATAM,> 10Juta,BODYPART,AMENG,082389969922,N/A,N/A,"Kara Industrial Park, Jl. Punggowo No.61 Blk A ·",BODY REPAIR
Complete,5/4/2026,STAR AUTO,Aktif,BATAM,> 10Juta,BODYPART,RUDIE,0811696266,N/A,N/A,"Jl. Budi Kemuliaan No.88, Kp. Pelita",BODY REPAIR
Complete,5/4/2026,ASURANSI CAKRAWALA,Aktif,BATAM,> 10Juta,BODYPART,THOMAS,081275214825,N/A,N/A,"Ruko Grand Orchid Business Centre, Blk. A3 No.6",ASURANSI
Complete,5/4/2026,ASURANSI SOMPO,Tidak Aktif,BATAM,> 1Juta,BODYPART,ECA,082179966688,N/A,N/A,"Komplek Goldhill Blok A No. 1, Jl. Laksamana Bintan – Sei Panas,",ASURANSI
Tidak Complete,5/6/2026,PT SMBB,Aktif,BATAM,> 10Juta,BODYPART,RINUS,082268875179,N/A,N/A,,TOKO
Tidak Complete,5/7/2026,PT. Jaya Mas Makmur,Tidak Aktif,BATAM,,BODYPART,,,,,"Komp. Aku Tahu Blok H No. 8, Sungai Panas",BODYREPAIR
Tidak Complete,5/7/2026,CV GAMA,Tidak Aktif,BATAM,,BODYPART,,,,1,"No. 1-5, Komplek Batu Batam Mas, Jl. Gajah Mada Blok B, Baloi Indah",BODYREPAIR
Tidak Complete,5/7/2026,Speedshop 778 Automotif,Tidak Aktif,BATAM,,BODYPART,,,,,"Komplek Inti Batam Business Industrial Park Blok A No. 7, Sungai Panas",BODYREPAIR
Tidak Complete,5/7/2026,bosowa asuransi batam,Tidak Aktif,BATAM,,BODYPART,,,,,"First City Complek Blok B 2 No. 34-35, Tlk. Tering",ASURANSI
Tidak Complete,5/7/2026,intra asia asuransi batam,Tidak Aktif,BATAM,,BODYPART,,,,,"424H+HMV, Sukajadi",ASURANSI
Tidak Complete,5/7/2026,PT. Asuransi Bintang Tbk,Tidak Aktif,BATAM,,BODYPART,,,,,"Ruko Anggrek Mas 2, Jl. Jenderal Sudirman Blk. A2 No.9, Taman Baloi",ASURANSI
Tidak Complete,5/7/2026,Asuransi Ramayana,Tidak Aktif,BATAM,,BODYPART,,,,,"Komplek Mahkota Raya Blok D No. 1, Jl. Engku Putri, Batam Center, Tlk. Tering",ASURANSI
Tidak Complete,5/7/2026,Asuransi Central Asia (ACA),Tidak Aktif,BATAM,,BODYPART,,,,,"Diamond City (DC) Mall, Jl. Duyung Ruko No. 3, Batu Selicin,",ASURANSI
Tidak Complete,5/7/2026,PT. Asuransi Multi Artha Guna Tbk,,BATAM,,BODYPART,,,,,"batam center, Komplek Palm Spring Blok B2 No.9(Gedung Bank Panin, Lt.3, Taman Baloi",ASURANSI
Tidak Complete,5/7/2026,Panfic Insurance Batam,,BATAM,,BODYPART,,,,,"Komplek Grand California, Jl. Laksamana Bintan No.6 Blok G1, Taman Baloi",ASURANSI
Tidak Complete,5/7/2026,CV GARUDA SAKTI,,BATAM,,BODYPART,,,,,"Komplek Asean Pelita, Jl. Teuku Umar No.3, Kp. Pelita",TOKO
