ATPM,,,,,,,,,,,,,,,,,ATPM,,,,,,,,Non - ATPM,,,,,NON - ATPM,,,,,,,,,,,,
PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,ATPM Price,Total ATPM Price,HPP,Total HPP,Total Selling Price,Gross Profit,Gross Profit %,Total Savings,Total Saving Percentage,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,Total Savings,AVERAGE of Total Saving Percentage,,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,HPP (IDR),Total HPP(IDR) ,Total Selling Price,Gross Profit,Gross Profit %
CT260502,5/22/2026,KD5451150G,"LAMP(R),RR COMB.",MAZDA,CT Auto Spare SDN BHD,OL,1 SET,"Rp3,237,393","Rp3,237,393","Rp2,584,050","Rp2,584,050","Rp4,298,564","Rp1,714,514",39.89%,"Rp653,343",-32.78%,May,"Rp62,359,912","Rp41,514,851","Rp20,845,062",36.09%,"Rp4,459,554",-1.79%,,May,"Rp7,169,000","Rp5,255,867","Rp1,913,133",31.18%,AR260501,5/4/2026,609001177AA,FR WHEEL ARCH ASSY RH,CHERY,Anhui Ruikai,OL,1,"Rp138,157","Rp138,157","Rp224,000","Rp85,843",38.32%
CT260502,5/22/2026,KD53513F0F,"LAMP(R),TRUNK LID",MAZDA,CT Auto Spare SDN BHD,OL,1 SET,"Rp2,797,329","Rp2,797,329","Rp1,992,784","Rp1,992,784","Rp3,714,476","Rp1,721,692",46.35%,"Rp804,545",-32.79%,Jun,"Rp57,743,375","Rp37,121,987","Rp20,621,388",40.25%,"Rp20,854,551",22.56%,,Jun,"Rp83,453,381","Rp23,195,935","Rp60,257,446",60.13%,KWJ260501,5/18/2026,602004000AA,TRIM COVER-FOG LAMP RH,CHERY,"Kwoje Automotive Parts Co., Ltd.",OM,1,"Rp185,395","Rp185,395","Rp240,000","Rp54,605",22.75%
CT260501,5/11/2026,K0V834300,"ARM(R),LOWER",MAZDA,CT Auto Spare SDN BHD,OL,1 SET,"Rp3,193,814","Rp3,193,814","Rp2,540,253","Rp2,540,253","Rp4,017,578","Rp1,477,326",36.77%,"Rp653,561",-25.79%,Jul,"Rp8,105,780","Rp4,843,726","Rp3,262,054",38.64%,"Rp1,778,840",3.34%,,Jul,"Rp23,468,822","Rp9,221,630","Rp14,247,192",80.83%,AR260501,5/4/2026,602003997AA,LWR BODY-FR BUMPER,CHERY,Anhui Ruikai,OM,1,"Rp281,696","Rp281,696","Rp784,000","Rp502,304",64.07%
CT260501,5/11/2026,K0V834350,"ARM(L),LOWER",MAZDA,CT Auto Spare SDN BHD,OL,1 SET,"Rp3,193,814","Rp3,193,814","Rp2,540,253","Rp2,540,253","Rp4,017,578","Rp1,477,326",36.77%,"Rp653,561",-25.79%,,Rp0,Rp0,Rp0,#DIV/0!,Rp0,#DIV/0!,,,Rp0,Rp0,Rp0,#DIV/0!,MG260501,5/22/2026,86512CC300,FRONT LOWER BUMPER,KIA,Min Ghee,OL,1,"Rp1,806,126","Rp1,806,126","Rp2,340,000","Rp533,874",22.82%
AB260501,5/12/2026,49141-60020,"ACCUMULATOR, FRONT SUSPENSION CONTROL RH/LH",TOYOTA,PT ASUKI BATAM,OL,1 SET,Barang Non ATPM,,"Rp4,000,005","Rp4,000,005","Rp5,815,900","Rp1,815,895",31.22%,,,Grand Total,"Rp128,209,067","Rp83,480,563","Rp44,728,504",38.72%,"Rp27,092,945",14.69%,,Grand Total,"Rp114,091,203","Rp37,673,432","Rp76,417,771",59.98%,MG260501,5/22/2026,86612-CC300BKL,REAR LOWER BUMPER,KIA,Min Ghee,OL,1,"Rp1,806,126","Rp1,806,126","Rp2,340,000","Rp533,874",22.82%
AB260501,5/12/2026,49141-60020,"ACCUMULATOR, FRONT SUSPENSION CONTROL RH/LH",TOYOTA,PT ASUKI BATAM,OL,1 SET,Barang Non ATPM,,"Rp4,000,005","Rp4,000,005","Rp5,815,900","Rp1,815,895",31.22%,,,,,,,,,,,,,,,,,6/29/2026,52411-48070,SPOILER BUMPER FRONT,TOYOTA,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",OL,1,"Rp142,000","Rp142,000","Rp2,200,000","Rp2,058,000",93.55%
AB260501,5/12/2026,49151-60020,"ACCUMULATOR, REAR SUSPENSION CONTROL RH/LH",TOYOTA,PT ASUKI BATAM,OL,1 SET,Barang Non ATPM,,"Rp4,000,005","Rp4,000,005","Rp5,815,900","Rp1,815,895",31.22%,,,,,,,,,,,,,,,,TD260608,6/30/2026,48510-80B41,SHOCKBRAKER FR RH,TOYOTA,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",OM,1,"Rp610,043","Rp610,043","Rp2,565,000","Rp1,954,957",76.22%
AB260501,5/12/2026,49151-60020,"ACCUMULATOR, REAR SUSPENSION CONTROL RH/LH",TOYOTA,PT ASUKI BATAM,OL,1 SET,Barang Non ATPM,,"Rp4,000,005","Rp4,000,005","Rp5,815,900","Rp1,815,895",31.22%,,,,,,,,,,,,,,,,TD260608,6/30/2026,4261A-48290,"WHEEL, DISC",TOYOTA,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",OL,1,"Rp3,373,181","Rp3,373,181","Rp9,000,000","Rp5,626,819",62.52%
AB260501,5/12/2026,48510-69355,"ABSORBER ASSY. SHOCK, FRONT RH/LH (SET SD NUT)",TOYOTA,PT ASUKI BATAM,OL,1 SET,Barang Non ATPM,,"Rp3,200,004","Rp3,200,004","Rp4,671,720","Rp1,471,716",31.50%,,,,,,,,,,,,,,,,TD260610,6/30/2026,BST-TUR6-22560R18,BRIDGESTONE TURANZA 6 225/60-R18,TOYOTA,PT.Lintas teknik mandala (Auto Ban),OL,2,"Rp1,450,002","Rp2,900,003","Rp3,940,000","Rp1,039,997",26.40%
AB260501,5/12/2026,48510-69355,"ABSORBER ASSY. SHOCK, FRONT RH/LH (SET SD NUT)",TOYOTA,PT ASUKI BATAM,OL,1 SET,Barang Non ATPM,,"Rp3,200,004","Rp3,200,004","Rp4,671,720","Rp1,471,716",31.50%,,,,,,,,,,,,,,,,,7/10/2026,BCKN50A11A,"COVER, TOW HOOK",MAZDA,CHONGBANG ,OM,1,"Rp53,827","Rp53,827","Rp220,000","Rp166,173",75.53%
