SISTEM INVENTORY UTAMA & STOCK OPNAME,,,,,,,,,,,,,,,,,,,,,,,,
MASTER DATA INVENTORY,,,,,,,,FLOW LOG (INPUT/OUTPUT),,,,,,,,STOCK OPNAME (AUDIT LOG),,,,,,,,
Kode Part,Nama Part,Stok Awal,Total Masuk,Total Keluar,Stok Akhir Sistem,Stok Fisik Terakhir,Selisih Audit,,Tanggal PO,No PO,Kode Part,Nama Part,Jenis Flow,Jumlah (Qty),Keterangan,,Tanggal Audit,Auditor,Kode Barang,,Stok Sistem,Stok Fisik,Selisih,Keterangan
602001263AA,LWR BODY-FR BUMPER,,0,0,0,,0,,2026-07-09,,602001263AA,LWR BODY-FR BUMPER,Masuk,0,,,,,,,,,0,
602000746AA,LWR PROTECTING PLATE-ENGIN,,0,0,0,,,,2026-07-09,,602000746AA,LWR PROTECTING PLATE-ENGIN,Masuk,0,,,,,,,,,0,
602005202AA,LWR BODY-FR BUMPER,,2,0,2,,,,2026-07-09,,602005202AA,LWR BODY-FR BUMPER,Masuk,2,,,,,,,,,0,
602006641AA,FRONT LOWER BUMPER,,0,0,0,,,,2026-07-09,,602006641AA,FRONT LOWER BUMPER,Masuk,0,,,,,,,,,,
602005563AA,"FR BUMPER, BRACKET LH",,3,0,3,,,,2026-07-09,,602005563AA,"FR BUMPER, BRACKET LH",Masuk,3,,,,,,,,,,
602005564AA,RH BRACKET-FR BUMPER,,1,0,1,,,,2026-07-09,,602005564AA,RH BRACKET-FR BUMPER,Masuk,1,,,,,,,,,,
602007721AA,UPR BODY-FR BUMPER,,0,0,0,,,,2026-07-09,,602007721AA,UPR BODY-FR BUMPER,Masuk,0,,,,,,,,,,
602001690AA,MUDGUARD-FR WHEEL LH,,2,0,2,,,,2026-07-09,,602001690AA,MUDGUARD-FR WHEEL LH,Masuk,2,,,,,,,,,,
602001691AA,MUDGUARD-FR WHEEL RH,,1,0,1,,,,2026-07-09,,602001691AA,MUDGUARD-FR WHEEL RH,Masuk,1,,,,,,,,,,
609000303AA,FR WHEEL ARCH TRIM PANEL RH,,2,0,2,,,,2026-07-09,,609000303AA,FR WHEEL ARCH TRIM PANEL RH,Masuk,2,,,,,,,,,,
609000304AA,RR WHEEL ARCH TRIM PANEL LH,,0,0,0,,,,2026-07-09,,609000304AA,RR WHEEL ARCH TRIM PANEL LH,Masuk,0,,,,,,,,,,
609001176AA,FR WHEEL ARCH TRIM LH,,6,0,6,,,,2026-07-09,,609001176AA,FR WHEEL ARCH TRIM LH,Masuk,6,,,,,,,,,,
609001177AA,FR WHEEL ARCH ASSY RH,,1,0,1,,,,2026-07-09,,609001177AA,FR WHEEL ARCH ASSY RH,Masuk,1,,,,,,,,,,
605000558AA,HEADLAMP LOW RIGHT,,0,0,0,,,,2026-07-09,,605000558AA,HEADLAMP LOW RIGHT,Masuk,0,,,,,,,,,,
605000557AA,HEADLAMP LOW LEFT,,2,0,2,,,,2026-07-09,,605000557AA,HEADLAMP LOW LEFT,Masuk,2,,,,,,,,,,
602002158AA,LEFT HEADLAMP TRIM COVER,,4,0,4,,,,2026-07-09,,602002158AA,LEFT HEADLAMP TRIM COVER,Masuk,0,,,,,,,,,,
602002159AA,"TRIM COVER, HEADLAMP-RH",,2,0,2,,,,2026-07-09,,602002159AA,"TRIM COVER, HEADLAMP-RH",Masuk,0,,,,,,,,,,
52411-0E050,Part Tidak Ditemukan,,9,0,9,,,,2026-07-09,,52411-0E050,Part Tidak Ditemukan,Masuk,0,,,,,,,,,,
605001790AA,FR HEADLAMP LH,,0,0,0,,,,2026-07-09,,605001790AA,FR HEADLAMP LH,Masuk,0,,,,,,,,,,
602005066AA,LH UPR BRACKET-FR BUMPER,,0,0,0,,,,2026-07-09,,602005066AA,LH UPR BRACKET-FR BUMPER,Masuk,0,,,,,,,,,,
602005064AA,LH BRACKET-FR BUMPER,,0,0,0,,,,2026-07-09,,602005064AA,LH BRACKET-FR BUMPER,Masuk,0,,,,,,,,,,
602002777AA,FRONT UPPER BUMPER,,0,0,0,,,,2026-07-09,,602002777AA,FRONT UPPER BUMPER,Masuk,0,,,,,,,,,,
602007559AAABW,RADIATOR GRILLE,,0,0,0,,,,2026-07-09,,602007559AAABW,RADIATOR GRILLE,Masuk,0,,,,,,,,,,
602001621AAACL, RADIATOR GRILLE,,0,0,0,,,,2026-07-09,,602001621AAACL, RADIATOR GRILLE,Masuk,0,,,,,,,,,,
605000726AA,HEADLAMP UP FR RIGHT,,0,0,0,,,,2026-07-09,,605000726AA,HEADLAMP UP FR RIGHT,Masuk,0,,,,,,,,,,
F16-2803507CA,BASE GRILL,,0,0,0,,,,2026-07-09,,F16-2803507CA,BASE GRILL,Masuk,0,,,,,,,,,,
F16-2803505CA,FRONT LOWER BUMPER,,1,0,1,,,,2026-07-09,,F16-2803505CA,FRONT LOWER BUMPER,Masuk,1,,,,,,,,,,
