Part Number,"Nama Mobil
VIN ",No,Nama Sparepart,Harga Jual,Disc.,After discount,Stock & Lead Time,,Harga Modal,Harga Modal ATPM,Modal Vendor A,,,Modal Vendor B,,,Modal Vendor C,,,Ongkir,Gross Profit Before Disc.,% Gross Profit Before Disc.,GP After Disc.,% GP After Disc.
52411-48070,TOYOTA HARRIER 2.0 AT / 2025,1,Spoiler Bumper Depan Doff,"Rp2,200,000",0%,"Rp2,200,000",Ready Stock,,"Rp284,400",Barang Non ATPM,,"Rp142,000",TRUE,,"Rp40,000",FALSE,,"Rp80,000",FALSE,"Rp142,400","Rp1,915,600",87.1%,"Rp1,915,600",87.1%
,,2,Moulding Pintu Depan Kanan Doff,"Rp2,250,000",10%,"Rp2,025,000","Indent, 4-5 Minggu Kerja",,"Rp408,650",,,"Rp266,250",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp1,841,350",81.8%,"Rp1,616,350",79.8%
,,3,Moulding Pintu Tengah Kanan Doff,"Rp1,500,000",10%,"Rp1,350,000","Indent, 4-5 Minggu Kerja",,"Rp408,650",,,"Rp266,250",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp1,091,350",72.8%,"Rp941,350",69.7%
,,4,Cover Trisplang Kanan Doff,"Rp3,000,000",10%,"Rp2,700,000","Indent, 4-5 Minggu Kerja",,"Rp976,650",,,"Rp834,250",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp2,023,350",67.4%,"Rp1,723,350",63.8%
,,5,Shockbraker Depan Kanan,"Rp2,850,000",10%,"Rp2,565,000","Indent, 4-5 Minggu Kerja",,"Rp745,900",,,"Rp603,500",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp2,104,100",73.8%,"Rp1,819,100",70.9%
,,6,Penutup Debu Shockbraker Depan Kanan,"Rp450,000",10%,"Rp405,000","Indent, 4-5 Minggu Kerja",,"Rp337,650",,,"Rp195,250",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp112,350",25.0%,"Rp67,350",16.6%
,,7,Mounting Shockbraker Depan Kanan,"Rp1,500,000",10%,"Rp1,350,000","Indent, 4-5 Minggu Kerja",,"Rp284,400",,,"Rp142,000",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp1,215,600",81.0%,"Rp1,065,600",78.9%
,,8,Ban Depan Kanan Merek Good Year AMG SUV 225/55 R19 99V,"Rp1,840,000",0%,"Rp1,840,000",Ready Stock,,"Rp1,840,000",,,"Rp1,840,000",TRUE,,,FALSE,,,FALSE,,Rp0,0.0%,Rp0,0.0%
,,9,Ban Depan Kanan Merek Accelera Iota ST68 225/55 R19 99V,"Rp1,970,000",0%,"Rp1,970,000",Ready Stock,,"Rp1,970,000",,,"Rp1,970,000",TRUE,,,FALSE,,,FALSE,,Rp0,0.0%,Rp0,0.0%
,,10,Velg Depan Kanan,"Rp10,000,000",10%,"Rp9,000,000","Indent, 4-5 Minggu Kerja",,"Rp3,479,400",,,"Rp3,337,000",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp6,520,600",65.2%,"Rp5,520,600",61.3%
,,11,Pentil Velg Depan Kanan (Ada sensornya)\,"Rp1,280,000",10%,"Rp1,152,000","Indent, 4-5 Minggu Kerja",,"Rp373,150",,,"Rp230,750",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp906,850",70.8%,"Rp778,850",67.6%
,,12,Ban Depan Kanan Merek Good Year AMG SUV 225/55 R19 99V,"Rp1,840,000",0%,"Rp1,840,000",Ready Stock,,"Rp1,840,000",,,"Rp1,840,000",TRUE,,,FALSE,,,FALSE,,Rp0,0.0%,Rp0,0.0%
,,13,Ban Depan Kanan Merek Accelera Iota ST68 225/55 R19 99V,"Rp1,970,000",0%,"Rp1,970,000",Ready Stock,,"Rp1,970,000",,,"Rp1,970,000",TRUE,,,FALSE,,,FALSE,,Rp0,0.0%,Rp0,0.0%
,,14,Ban Bridgestone Turanza 6 DOT26 225/55 R19 ,"Rp2,730,000",0%,"Rp2,730,000","Ex Stock, 4-5 Hari Kerja",,"Rp1,520,000",,,"Rp1,520,000",TRUE,,,FALSE,,,FALSE,,"Rp1,210,000",44.3%,"Rp1,210,000",44.3%
,,15,Velg Belakang Kanan,"Rp10,000,000",10%,"Rp9,000,000","Indent, 4-5 Minggu Kerja",,"Rp3,479,400",,,"Rp3,337,000",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp6,520,600",65.2%,"Rp5,520,600",61.3%
,,16,Pentil Velg Belakang Kanan (Ada sensornya),"Rp1,280,000",10%,"Rp1,152,000","Indent, 4-5 Minggu Kerja",,"Rp373,150",,,"Rp230,750",TRUE,,,FALSE,,,FALSE,"Rp142,400","Rp906,850",70.8%,"Rp778,850",67.6%
,Total,,"Rp17,020,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total After Disc,,"Rp15,735,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
08G09W01J6Y101,CONTOH Cheryy,1,J6/ICAUR03 RIGHT-HAND DRIVE CONVERSION -,"Rp2,500,000",10%,"Rp2,250,000",,,"Rp2,342,400","Rp1,429,487",,"Rp100,000",FALSE,,"Rp400,000",FALSE,,"Rp2,200,000",TRUE,"Rp142,400","Rp157,600",6.3%,"-Rp92,400",-4.1%
202000957AA,,2,FR SHOCK ABSORBER-LH,"Rp1,960,000",5%,"Rp1,862,000",,,"Rp392,400","Rp1,045,962",,"Rp250,000",TRUE,,"Rp350,000",FALSE,,"Rp250,000",FALSE,"Rp142,400","Rp1,567,600",80.0%,"Rp1,469,600",78.9%
204000065AA,,3,BEARING ASSY,"Rp1,000,000",10%,"Rp900,000",,,"Rp1,022,400","Rp782,550",,"Rp480,000",FALSE,,"Rp880,000",TRUE,,"Rp300,000",FALSE,"Rp142,400","-Rp22,400",-2.2%,"-Rp122,400",-13.6%
204000116AA,,4,FRONT BEARING,"Rp850,000",5%,"Rp807,500",,,"Rp242,400","Rp503,769",,"Rp400,000",FALSE,,"Rp400,000",FALSE,,"Rp100,000",TRUE,"Rp142,400","Rp607,600",71.5%,"Rp565,100",70.0%
,Total,,"Rp6,310,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,Total After Disc,,"Rp5,819,500",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
GSJ850031 BB,"Mazda 6 Sedan , VIN : JM6GL1033P0501152",1,BUMPER FR - ,"Rp4,000,000",10%,"Rp3,600,000","Indent, 4-5 Minggu Kerja",,"Rp1,004,850","Rp5,570,800",,"Rp704,850",TRUE,,,FALSE,,,FALSE,"Rp300,000","Rp2,995,150",74.9%,"Rp2,595,150",72.1%
BAN - KAPSEN 225/45R19 92W,,2,BAN - Accelera EVT 225/45R19 92W,"Rp1,800,000",0%,"Rp1,800,000","Ex Stock, 3-4 Hari Kerja",,"Rp1,350,000",Barang Non ATPM,,"Rp1,350,000",TRUE,,,FALSE,,,FALSE,,"Rp450,000",25.0%,"Rp450,000",25.0%
GBVG50131,,3,LIST CHROME LH - ,"Rp600,000",10%,"Rp540,000","Indent, 4-5 Minggu Kerja",,"Rp522,000","Rp678,300",,"Rp222,000",TRUE,,,FALSE,,,FALSE,"Rp300,000","Rp78,000",13.0%,"Rp18,000",3.3%
