,,,,,,,,,,,,,,,,,,,,,
,,,LAPORAN STOCK AKHIR SPAREPART,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,PT. MAJESTY AUTO DINAMIKA (TRADING),,,,,,,,,,,,,,,,,,"Rp8,650,000"
,,,,,,,,,,,,,,,,,,,,,"Rp9,400,000"
,,,Stock Per Tanggal :,09 - 07 - 2026,,,,,,,,,,,,,,,,,"Rp8,300,000"
,,,,,,,,,,,,,,,,,,,,,"Rp9,000,000"
,,,,,,,,,,,,,,,,,,,,,"Rp8,700,000"
NO.,NO PART,NAMA PART,QTY STO 9/5/26,FISIK,KETERANGAN,QTY STO 9/7/26,,,,,,,,,,,,,,,"Rp8,400,000"
,602001263AA,,,,,,,,,,,,,,,,,,,,"Rp8,675,000"
,602000746AA,,1,,SOLD 1,,,,,,,,,,,,,,,,
,602005202AA,,,,2,,,,,,,,,,,,,,,,
,602006641AA,,,,,,,,,,,,,,,,,,,,
,602005563AA,,,,,,,,,,,,,,,,,,,,
,602005564AA,,,,,,,,,,,,,,,,,,,,
,602007721AA,,,,,,,,,,,,,,,,,,,,
,602001690AA,,2,,,,,,,,,,,,,,,,,,
,602001691AA,"MUDGUARD,",1,,1 SOLD,,,,,,,,,,,,,,,,
,609000303AA,MUDGUARD ,2,,,,,,,,,,,,,,,,,,
,609000304AA,,1,,1 SOLD,,,,,,,,,,,,,,,,
,609001176AA,,2,,,,,,,,,,,,,,,,,,
,609001177AA,,,,,,,,,,,,,,,,,,,,
,605000558AA,,,,,,,,,,,,,,,,,,,,
,605000557AA,,,,,,,,,,,,,,,,,,,,
,602002158AA,,,,,,,,,,,,,,,,,,,,
,602002159AA,,,,,,,,,,,,,,,,,,,,
,52411-0E050,BUMPER GUARD,,,,,,,,,,,,,,,,,,,
,605001790AA,,,,,,,,,,,,,,,,,,,,
,602005066AA,,,,,,,,,,,,,,,,,,,,
,602005064AA,,,,,,,,,,,,,,,,,,,,
,602002777AA,UPR BODY-FR BUMPER,,,,,,,,,,,,,,,,,,,
,602007559AAABW,RADIATOR GRILLE,,,,,,,,,,,,,,,,,,,
,602001621AAACL,RADIATOR GRILLE,,,,,,,,,,,,,,,,,,,
,605000726AA,FR SIGNAL LAMP-RH,,,,,,,,,,,,,,,,,,,
,F16-2803507CA,UPR GRILLE-FR BUMPER,1,,,,,,,,,,,,,,,,,,
,F16-2803505CA,LWR BODY-FR BUMPER,2,,,,,,,,,,,,,,,,,,
,F16-4499010CA,LH DAYTIME RUNNING LAMP,1,,,,,,,,,,,,,,,,,,
,F16-3102070CA,LWR PROTECTING PLATE-ENGINE,1,,,,,,,,,,,,,,,,,,
,F16-1301110FA//302005998AA,RADIATOR    ,1,,,,,,,,,,,,,,,,,,
,605000724AA,TAIL DOOR LAMP,1,,,,,,,,,,,,,,,,,,
,602002649AA,LWR BODY-RR BUMPER,,,,,,,,,,,,,,,,,,,
