Data Status,Vendor Name ,Vendor ID,Country ,Address ,Supplied Brands,Category ,Remarks,Contact Person ,WeChat / WhatsApp,Email,Website,Status
Complete,Anhui Ruikai,AR,China,"No. 208, Guandoumen Road, Wuhu Area, China (Anhui) Pilot Free Trade Zone","CHERY, JETOUR, DFSK, GWM",Bodypart,"Bodypart, sparepart",Dong Xianghong,(86) 182 7287 8557,s7h10c12@163.com,https://www.ahruikai.com,Aktif
Tidak Complete,"Kwoje Automotive Parts Co., Ltd.",KWJ,China,,"CHERY, JETOUR",,"Bodypart, sparepart, accessories","Jerry, Nancy",86 189 3399 3863,jerrykwong666@gmail.com,https://kwoje.com/,Aktif
Tidak Complete,CT Auto Spare SDN BHD,CT,Malaysia,"No. 85-87, Jalan Glasiar, Taman Tasek, 80200 Johor Bahru, Johor",MAZDA,,"Bodypart, sparepart",Alfred,(60) 16 747 1991,info@ctauto.com.my,http://www.ctauto.com.my/,Aktif
Tidak Complete,Min Ghee,MG,Singapura,,"MAZDA, LEXUS, TOYOTA, BYD",,"Bodypart, sparepart",Tan Chay Pin,(65) 9731 6783,,,Aktif
Tidak Complete,"Danyang Aoyou Auto Parts Co.,Ltd",AY,China,,,,"Bodypart, sparepart, accessories",Garen,(86) 167 6811 8733,,,Aktif
Tidak Complete,"Guangzhou Gangzheng Automobile Parts Co.,Ltd",GZ,China,"No.3, Luoling Nan Road, Daluo Village,Zhongluotan Town, Baiyun District, Guangzhou City, China","CHERY, JETOUR",,"Bodypart, sparepart",Yvone,(86) 153 6041 6309,,,Aktif
Tidak Complete,"Guangzhou Yaopei Auto Parts Co., Ltd",YP,China,"Room 1301, No.152, Huangbian North Road, Helong Street, Baiyun District, Guangzhou,China 510440",BMW MOTOR,,"Bodypart, sparepart",Lucy Yu,(86) 186 8029 2583,autoparts006@yaopeisensor.com,http://www.yaopeisensor.com,Aktif
Tidak Complete,Win World,WW,China,"Room 2801-2808, Yiyun Kechuang Center, No.33 Jinshi 3rd Road, Dayuan Street, Baiyun District, Guangzhou",,,"Filter oil, Filter AC",Jessie,(86) 133 1614 9989,tracy@winworldautoparts.com,http://www.winworldautoparts.com/,Aktif
Tidak Complete,Integrated Global Network Enterprise,IGN,Singapura,Block 9 Kaki Bukit Road 1 #01-07/08 Eunos Technolink Singapore 415938,"BMW, BMW MOTOR, MINI COOPER",,"Bodypart, sparepart",,(65) 9233 3083,mail@ign.com.sg,https://www.ign.com.sg/,Aktif
Tidak Complete,BMW Motorrad Singapore,,Singapura,"1 Ubi Road 4, 408607, Singapore",BMW MOTOR,,"Bodypart, sparepart","Alex, KP",(65) 9115 5376,,https://www.bmwmotorrad.com.sg/en/wear/apparel.html,Tidak Aktif
