Data Status,Int. Part Number,Part Name,Workshop Name,Brand,Model,Series / Type,Year,ATPM PRICE,Vendor ID,Vendor Name,Category Part,Currency,Cost Price,HPP (IDR),Update Date,,LEGEND / CARA INPUT - MASTER_SPAREPART,,,
Tidak Complete,29967,WATER PUMP,-,MASERATI,LEVANTE,S,2021,Barang Non ATPM,,,,,,,,,,,,
Tidak Complete,328660,SENSOR OIL PRESSURE,-,MASERATI,LEVANTE,S,2021,Barang Non ATPM,,,,,,,,,,,,
Tidak Complete,10509234,TIRE,BAN,MG,4,EV,-,WAITING,,,,,,,,,,,,
Tidak Complete,10562299,BRACKET BUMPER FR LH,-,MG,ZS,EV,-,WAITING,,,,,,,,,,,,
Tidak Complete,10905795,HEADLAMP LH,-,MG,ZS,EV,-,WAITING,,,,,,,,,,,,
Complete,10978427,BRACKET-RR BPR FASCIA MTG,bracket bumper belakang,MG,4,EV,-,WAITING,DPA,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",OL,USD,5.00,"Rp89,712",7/19/2026,,,,,
Complete,10978427,BRACKET-RR BPR FASCIA MTG,bracket bumper belakang,MG,4,EV,-,WAITING,JY,"Jinan Yuxi Trading Co., Ltd",OL,CNY,65.00,"Rp172,153",7/19/2026,,,,,
Complete,10978427,BRACKET-RR BPR FASCIA MTG,bracket bumper belakang,MG,4,EV,-,WAITING,AR,Anhui Ruikai,OM,USD,3.50,"Rp62,799",7/19/2026,,,,,
Complete,10978427,BRACKET-RR BPR FASCIA MTG,bracket bumper belakang,MG,4,EV,-,WAITING,ZM,"Zhuo Meng (Shanghai) Automobile Import and Export Co.,Ltd.",OM,CNY,30.00,"Rp79,455",7/19/2026,,,,,
Complete,11202148,FINISHER-FRT BPR,-,MG,MG 4 EV,-,-,WAITING,AR,Anhui Ruikai,OM,USD,1.60,"Rp28,708",7/19/2026,,,,,
Complete,11202148,FINISHER-FRT BPR,-,MG,MG 4 EV,-,-,WAITING,JY,"Jinan Yuxi Trading Co., Ltd",OL,CNY,25.00,"Rp66,213",7/19/2026,,,,,
Complete,11202148,FINISHER-FRT BPR,-,MG,MG 4 EV,-,-,WAITING,DPA,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",OL,CNY,20.00,"Rp52,970",7/19/2026,,,,,
Complete,11202148,FINISHER-FRT BPR,-,MG,4,EV,-,WAITING,AR,Anhui Ruikai,OM,USD,1.60,"Rp28,708",7/19/2026,,,,,
Complete,11202148,FINISHER-FRT BPR,-,MG,4,EV,-,WAITING,ZM,"Zhuo Meng (Shanghai) Automobile Import and Export Co.,Ltd.",OM,CNY,15.00,"Rp39,728",7/19/2026,,,,,
Complete,11221403,PLATE ASM-RR LIC PLT,dudukan plat nomor belakang,MG,4,EV,-,WAITING,DPA,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",OL,USD,4.00,"Rp71,770",7/19/2026,,,,,
Complete,11221403,PLATE ASM-RR LIC PLT,dudukan plat nomor belakang,MG,4,EV,-,WAITING,JY,"Jinan Yuxi Trading Co., Ltd",OL,CNY,45.00,"Rp119,183",7/19/2026,,,,,
Complete,11221403,PLATE ASM-RR LIC PLT,dudukan plat nomor belakang,MG,4,EV,-,WAITING,AR,Anhui Ruikai,OL,USD,3.20,"Rp57,416",7/19/2026,,,,,
Complete,11221403,PLATE ASM-RR LIC PLT,dudukan plat nomor belakang,MG,4,EV,-,WAITING,ZM,"Zhuo Meng (Shanghai) Automobile Import and Export Co.,Ltd.",OM,CNY,22.00,"Rp58,267",7/19/2026,,,,,
Complete,11275390,HEADLAMP ASM LH,-,MG,ZS,EV,-,WAITING,AR,Anhui Ruikai,OM,USD,279.40,"Rp5,013,121",7/19/2026,,,,,
Complete,11275390,HEADLAMP ASM LH,-,MG,ZS,EV,-,WAITING,DPA,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",OL,USD,311.00,"Rp5,580,102",7/19/2026,,,,,
Complete,11275390,HEADLAMP ASM LH,-,MG,ZS,EV,-,WAITING,JY,"Jinan Yuxi Trading Co., Ltd",OM,CNY,"2,580.00","Rp6,833,148",7/19/2026,,,,,
Complete,11371961,LINER ASM-FRT W/H,spakbor kolong depan / fender liner depan,MG,4,EV,-,WAITING,DPA,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",AF,USD,13.00,"Rp233,252",7/19/2026,,,,,
Complete,11371961,LINER ASM-FRT W/H,spakbor kolong depan / fender liner depan,MG,4,EV,-,WAITING,JY,"Jinan Yuxi Trading Co., Ltd",OL,CNY,195.00,"Rp516,459",7/19/2026,,,,,
Complete,11371961,LINER ASM-FRT W/H,spakbor kolong depan / fender liner depan,MG,4,EV,-,WAITING,AR,Anhui Ruikai,AF,USD,12.30,"Rp220,692",7/19/2026,,,,,
Complete,11371961,LINER ASM-FRT W/H,spakbor kolong depan / fender liner depan,MG,4,EV,-,WAITING,ZM,"Zhuo Meng (Shanghai) Automobile Import and Export Co.,Ltd.",AF,CNY,75.00,"Rp198,638",7/19/2026,,,,,
Complete,11636786,FASCIA-FRT BPR LWR,bumper bawah depan,MG,4,EV,-,WAITING,DPA,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",AF,USD,23.00,"Rp412,676",7/19/2026,,,,,
Complete,11636786,FASCIA-FRT BPR LWR,bumper bawah depan,MG,4,EV,-,WAITING,JY,"Jinan Yuxi Trading Co., Ltd",OL,CNY,850.00,"Rp2,251,231",7/19/2026,,,,,
Complete,11636786,FASCIA-FRT BPR LWR,bumper bawah depan,MG,4,EV,-,WAITING,AR,Anhui Ruikai,OL,USD,123.30,"Rp2,212,304",7/19/2026,,,,,
Complete,11636786,FASCIA-FRT BPR LWR,bumper bawah depan,MG,4,EV,-,WAITING,ZM,"Zhuo Meng (Shanghai) Automobile Import and Export Co.,Ltd.",AF,CNY,135.00,"Rp357,548",7/19/2026,,,,,
Tidak Complete,12635043,ENGINE CONTROL MODULE,-,CHEVROLET,CAPTIVA,GASOLINE,2011,Barang Non ATPM,,,,,,,,,,,,
Complete,19350623,WATER PUMP + PACKING,-,CHEVROLET,TRAX,-,2017,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"684,400.00","Rp684,401",7/19/2026,,,,,
Complete,19350623,WATER PUMP + PACKING,WATER PUMP + PACKING,CHEVROLET,AVEO,-,2012,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"684,400.00","Rp684,401",7/19/2026,,,,,
Tidak Complete,19372517,SHOCKBRAKER DEPAN R,-,CHEVROLET,SPIN,1.5,2014,Barang Non ATPM,,,,,,,,,,,,
Tidak Complete,19372518,SHOCKBRAKER DEPAN L,-,CHEVROLET,SPIN,1.5,2014,Barang Non ATPM,,,,,,,,,,,,
Complete,24111558,SELENOID OLI EXT,-,CHEVROLET,SPIN,1.5,2013,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"2,004,000.00","Rp2,004,002",7/19/2026,,,,,
Tidak Complete,24260057,GEARBOX SET/SEGELONDONGAN,-,CHEVROLET,AVEO,1.4,2014,Barang Non ATPM,,,,,,,,,,,,
Complete,25192985,WATER OUTLET,WATER OUTLET,CHEVROLET,AVEO,-,2012,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"672,200.00","Rp672,201",7/19/2026,,,,,
Complete,25193922,WATER OUTLET + SEAL,-,CHEVROLET,TRAX,-,2017,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"1,028,500.00","Rp1,028,501",7/19/2026,,,,,
Complete,28290033,THERMOSTAT,THERMOSTAT,CHEVROLET,AVEO,-,2012,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"5,086,500.00","Rp5,086,506",7/19/2026,,,,,
Complete,42525550,INLET HOSE RADIATOR #16,SELANG RADIATOR INLET,CHEVROLET,TRAX,-,2017,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"399,000.00","Rp399,000",7/19/2026,,,,,
Complete,52034711,PLATE/STRUT MOUNTING SHOCK FR LH/RH,-,CHEVROLET,SPIN,1.5,2013,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"69,400.00","Rp69,400",7/19/2026,,,,,
Tidak Complete,52134050,STEERING RACK,-,CHEVROLET,SPIN,1.5,2014,Barang Non ATPM,,,,,,,,,,,,
Complete,52134050,STEERING RACK SET,-,CHEVROLET,SPIN,1.5,2013,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"5,260,000.00","Rp5,260,006",7/19/2026,,,,,
Complete,52154904,HENDEL PINTU DEPAN KIRI BAGIAN LUAR,-,CHEVROLET,SPIN,1.5,2013,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"279,000.00","Rp279,000",7/19/2026,,,,,
Complete,55565619,THERMOSTAT + PACKING,-,CHEVROLET,TRAX,-,2017,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"4,866,600.00","Rp4,866,606",7/19/2026,,,,,
Complete,55591401,ENGINE COOLANT THERMOSTAT,-,CHEVROLET,TRAX,-,2017,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"255,000.00","Rp255,000",7/19/2026,,,,,
Complete,95022442,RADIATOR SET,-,CHEVROLET,SPIN,1.5,2013,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"2,754,400.00","Rp2,754,403",7/19/2026,,,,,
Complete,95227628,MOUNTING SHOCK FR LH/RH,-,CHEVROLET,SPIN,1.5,2013,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"2,531,000.00","Rp2,531,003",7/19/2026,,,,,
Complete,95316624,HOSE RAD IN,SELANG RADIATOR SET / HOSE RAD IN,CHEVROLET,AVEO,-,2012,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"97,900.00","Rp97,900",7/19/2026,,,,,
Complete,95493441,HOSE CONNECTOR #24,KONEKTOR SELANG RADIATOR,CHEVROLET,TRAX,-,2017,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"262,500.00","Rp262,500",7/19/2026,,,,,
Complete,95940540,"LOWER ARM, FR LH",-,CHEVROLET,SPIN,1.5,2013,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"3,570,000.00","Rp3,570,004",7/19/2026,,,,,
Complete,95990297,HOSE BYPASS,SELANG RADIATOR SET / HOSE BYPASS,CHEVROLET,AVEO,-,2012,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"117,400.00","Rp117,400",7/19/2026,,,,,
Complete,96415822,LOWER TIMING BELT COVER,Metal Duduk Std,CHEVROLET,SPARK,-,2011,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"82,000.00","Rp82,000",7/19/2026,,,,,
Tidak Complete,96817597,COOLANT HOSE/SELANG BYPASS,-,CHEVROLET,CAPTIVA,-,2009,Barang Non ATPM,,,,,,,,,,,,
Complete,96958139,"HOSE, RING #22",RING SELANG RADIATOR,CHEVROLET,TRAX,-,2017,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"92,300.00","Rp92,300",7/19/2026,,,,,
Complete,96958197,HOSE RAD OUT,SELANG RADIATOR SET / HOSE RAD OUT,CHEVROLET,AVEO,-,2012,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"313,300.00","Rp313,300",7/19/2026,,,,,
Complete,96958202,HOSE RAD TABUNG OUT,SELANG RADIATOR SET / HOSE RAD TABUNG OUT,CHEVROLET,AVEO,-,2012,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"188,600.00","Rp188,600",7/19/2026,,,,,
Complete,96958220,HOSE RAD TABUNG IN,SELANG RADIATOR SET / HOSE RAD TABUNG IN,CHEVROLET,AVEO,-,2012,Barang Non ATPM,FIM,FONTANA INDAH MOTOR,OL,IDR,"206,300.00","Rp206,300",7/19/2026,,,,,
